idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;gid;code_insee;lon;lat
10047;Lherminier / Pressensé;2, Avenue du Commandant Lherminier;Angle Rue Francis de Pressensé;Villeurbanne;47;15;;itinéraires cyclables;True;;396;69266;4.885023598465899;45.7711232449614
14003;Bron - Place Curial;70, Avenue Mal. de Lattre de Tassigny;Contre Allée F. Mitterrand;Bron;;25;;place_curial;True;;397;69029;4.91710048563201;45.736674424258965
11001;Caluire - Gare de Cuire;2, Rue Claude Baudrand;;Caluire-et-Cuire;1;16;;Métro, centre quartier;True;;398;69034;4.833713421589126;45.78577553086415
10115;Place d'Espagne / Stade Kruger;143, Avenue Paul Kruger;;Villeurbanne;115;22;;Stade;True;;399;69266;4.9052920801326065;45.754167771684585
5001;Place Varillon (funiculaire St-Just);63, Rue de Trion;;Lyon 5e Arrondissement;1;23;;Métro Saint Just, habitations, commerces;True;;400;69385;4.815090011309527;45.75730032193787
7052;Parc Blandan;37, Rue du Repos (entrée parc Blandan);;Lyon 7e Arrondissement;25;25;;Parc Sergent Blandan;True;;401;69387;4.8511961077823775;45.7459637289024
5044;Champvert;67, Rue Edmond Locard;;Lyon 5e Arrondissement;44;15;;Stade Edmond Locard, Skate Park;True;;402;69385;4.798407614953548;45.76007857703129
11004;Branly / Pasteur;75, Rue Pasteur;;Caluire-et-Cuire;;15;;;True;;405;69034;4.843331316106841;45.79158966144588
3102;Docteur Long / Aubépins;2, Rue de la Caille;;Lyon 3e Arrondissement;102;16;;Maillage;True;;407;69383;4.894267471712091;45.75253942950864
10084;Doua / Avenue des Arts;2, Avenue des Arts;;Villeurbanne;84;30;;Campus de la Doua;True;;408;69266;4.8712494989676305;45.78349977959382
3021;Place de la Ferrandière;51, Avenue Georges Pompidou;Angle Rue Louis Jasseron;Lyon 3e Arrondissement;21;20;;maillage;True;;410;69383;4.86934289665943;45.75947339661219
7008;Jean Jaurès / Guillotière;17, Avenue Jean Jaurès;angle Rue de la Guillotière;Lyon 7e Arrondissement;8;10;;maillage;True;;390;69387;4.846320618224095;45.75258090023228
3016;Liberté / Part-Dieu;34, Cours de la Liberté;angle rue de la Part-Dieu;Lyon 3e Arrondissement;16;18;;tram, commerces, itinéraire cyclable;True;;394;69383;4.842297616229328;45.75939863388015
9004;Gare de Vaise;Face 14, Rue du 24 Mars 1852;face entrée gare;Lyon 9e Arrondissement;4;22;;Gare, métro D;True;;411;69389;4.8046653309593905;45.77978198394285
2007;Patinoire Charlemagne;100, Cours Charlemagne;Rue Casimir Périer;Lyon 2e Arrondissement;7;37;;Patinoire Charlemagnes, Station tramway;True;Monté;406;69382;4.820471670305504;45.74261150057181
8055;Saint-Romain / Berliet;57, Rue Marius Berliet;;Lyon 8e Arrondissement;;20;; ;True;;392;69388;4.860372089467236;45.7422568774536
10103;Doua / Rue des sports;Rue des Arts;;Villeurbanne;103;30;;Tennis, stade, piscine;True;;393;69266;4.87748318756889;45.784525320436266
12004;Vaulx - Hôtel de ville;Rue Maurice Audin;coté Planétarium;Vaulx-en-Velin;;30;; ;True;;259;69256;4.92051671129779;45.77817181629516
1034;Carmélites;Face 30, Montée des Carmélites;;Lyon 1er Arrondissement;34;16;; ;True;;33;69381;4.829304232589043;45.770022924069515
10013;Cusset;13, Rue Pierre Voyant;;Villeurbanne;13;20;;métro A, centre quartier;True;;412;69266;4.901015274530836;45.764945643892666
5016;Point du Jour / Granges;49, Avenue du Point du Jour;;Lyon 5e Arrondissement;16;13;;Mairie de Lyon 5ème;True;;413;69385;4.802711079169013;45.756193928676254
10083;Château Gaillard / Bienvenus;Face 31, Rue des Bienvenus;;Villeurbanne;83;15;;;True;;415;69266;4.884244285772838;45.7778649152709
4004;Hénon;60, Boulevard des Canuts;angle Rue Hénon;Lyon 4e Arrondissement;4;22;;métro C, itinéraire cyclable;True;;416;69384;4.827648401087957;45.77975536713156
6023;Quai Sarrail;Face 4, Quai Général Sarrail;angle rue de Sèze;Lyon 6e Arrondissement;23;14;;Parc du Rhône;True;;417;69386;4.8411393393513285;45.766829619641626
15002;Saint Priest - Cité Berliet;Place Steven Spielberg;8ème Rue Cité Berliet;Saint-Priest;;20;;cite berliet;True;;419;69290;4.900984850609104;45.70598197250517
8003;Claude Bernard Lyon I;16, Rue Guillaume Paradin;devant entrée de la fac;Lyon 8e Arrondissement;3;16;;faculté de médecine, métro;True;;420;69388;4.886880308711535;45.73814005604696
3091;Hôpital Neurologique;59, Boulevard Pinel;;Lyon 3e Arrondissement;91;20;;Centre hospitalier, itinéraire cyclable;True;;421;69383;4.896957057546;45.748183293860585
10072;Jacques Brel;Face 4, Rue Jacques Brel;;Villeurbanne;64;23;;Tram, habitat dense et quartier du Tonkin;True;;3;69266;4.864291347855821;45.7742206902626
3004;Bourse du travail;Face 74, Rue de la Part-Dieu;Face place Eugène Varlin;Lyon 3e Arrondissement;4;27;;métro B, coeur quartier;True;;418;69383;4.848266559708355;45.75964530885178
3010;Part-Dieu / Cuirassiers;Face au 9, Rue des Cuirassiers;;Lyon 3e Arrondissement;;34;;;True;;414;69383;4.8562143376377644;45.75898613328861
4041;Boussange / Austerlitz;17, rue d'Austerlitz;;Lyon 4e Arrondissement;41;18;;Renforcement 4022, commerces;True;;142;69384;4.835512448007523;45.775045238094535
6044;Charmettes / Bellecombe;26, Rue de la Viabert;;Lyon 6e Arrondissement;44;16;;CIL Bellecombe, hôpital des Charmettes, ND de Bell;True;;194;69386;4.865054902670438;45.766370352854764
8057;Vienne / Montagny;184 Route de Vienne;;Lyon 8e Arrondissement;57;20;;Maillage;True;;403;69388;4.85340997500186;45.73248197825823
6016;Viabert / Thiers;Rue de la Viabert;angle avenue Thiers;Lyon 6e Arrondissement;16;16;;tram, itinéraire cyclable;True;;292;69386;4.862092278200749;45.76598798339972
7012;Place des Pavillons;Face 251, Rue Marcel Mérieux;;Lyon 7e Arrondissement;12;16;;ENS Sciences, coeur quartier;True;;377;69387;4.830143479384694;45.72908488363722
10056;11 novembre / Gaston Berger;Face 110, Avenue du 11 novembre 1918;Angle Avenue Gaston Berger;Villeurbanne;56;35;;resto U, associations, logements étudiants, iti. Cyclable;True;;424;69266;4.871496463189616;45.77906398634157
7033;Saint-Luc / Saint-Joseph;Face 22, Quai Claude Bernard;Sur le quai haut;Lyon 7e Arrondissement;33;33;;Tramway, hôpital;True;;219;69387;4.834793243012428;45.749421035230085
6007;Masséna;47, Rue Tête d'Or;angle Cours Vitton;Lyon 6e Arrondissement;7;27;;métro A;True;;344;69386;4.852372782856001;45.76966013221694
17001;Saint Fons - Arsenal;Face au 40, Avenue Jean Jaurès;;Saint-Fons;;27;;Saint-Fons;True;;426;69199;4.855274123133999;45.71234480151196
3083;Les Halles;183, Rue André Philip;;Lyon 3e Arrondissement;83;18;;Commerces, coeur de quartier;True;;425;69383;4.850481162649521;45.76159092583704
10028;Ecole de musique;49, Cours de la République;Angle Anatole France;Villeurbanne;28;24;;Conservatoire (A. France = itinéraire cyclable);True;;427;69266;4.874010554911909;45.76751737834845
2014;Jacobins;1, Rue Jean de Tournes;;Lyon 2e Arrondissement;14;26;;Coeur quartier, commerces, site;True;;428;69382;4.834304228535888;45.76075169507551
12002;Vaulx - Poudrette / La Soie;Face 2, Rue de la Poudrette;;Vaulx-en-Velin;70;20;;Centre commercial Carré de Soie;True;Monté;429;69256;4.919275785947365;45.76440031307614
12003;Vaulx - Bibliothèque;Rue Joseph Blein;devant la bibliothèque;Vaulx-en-Velin;;15;; ;True;;431;69256;4.92732161126566;45.75706976008222
7002;Universités Lyon III / Lyon II;Face 16, Quai Claude Bernard;Entre Pont de l'université et rue Chevreul;Lyon 7e Arrondissement;2;39;;Université Lyon 2 et Lyon 3;True;;38;69387;4.836143507784544;45.75110089580277
6043;Cité Internationale - Cinéma;80, Quai Charles de Gaulle;;Lyon 6e Arrondissement;43;32;;Cinémas, commerces;True;;90;69386;4.851929513645389;45.784710680323315
6036;Musée d'Art Contemporain;Allée Achille Lignon;Face 83, Quai Charles de Gaulle;Lyon 6e Arrondissement;36;23;;Cinémas, Cité internationale, Musée d'art contemporain, parc;True;;430;69386;4.852140403416399;45.78388161430035
7034;Piscine du Rhône;Face 8, Quai Claude Bernard;;Lyon 7e Arrondissement;34;31;;Piscine du Rhône;True;;280;69387;4.838220972403206;45.75361070537691
10058;Métro Flachet;276, Cours Emile Zola;;Villeurbanne;58;22;;métro A;True;;423;69266;4.892428641384554;45.76709094508305
1002;Opéra;Face 18, Rue Joseph Serlin;;Lyon 1er Arrondissement;2;41;;Opéra, métro, mairie centrale;True;;117;69381;4.8365720721237615;45.76760203502725
1003;Place Sathonay;4, Place Sathonay;;Lyon 1er Arrondissement;3;22;; ;True;;152;69381;4.830123718701326;45.76929800209085
6017;Lafayette / Inkermann;Face au 92b Rue d'Inkermann;;Lyon 6e Arrondissement;;30;;lafayette_inkerman;True;;95;69386;4.865913254455727;45.76393602444904
5006;Quai Romain Rolland;Quai Romain Rolland;Face au Palais de Justice;Lyon 5e Arrondissement;6;17;;Vieux Lyon;True;;254;69385;4.828869803446583;45.762009352085066
10025;Totem;40, Cours Tolstoï;;Villeurbanne;25;16;;Centre Quartier;True;;335;69266;4.87314108788078;45.76364070304086
1005;Meissonier;3, Place Meissonier;Angle sud-est de la place;Lyon 1er Arrondissement;5;16;;maillage;True;;329;69381;4.83283358305682;45.76608506687655
3037;Paul Bert / Garibaldi;209, Rue Paul Bert;Face place des Martyrs de la Résistance;Lyon 3e Arrondissement;37;21;;maillage (piscine Garibaldi);True;;60;69383;4.853476707251385;45.757083605777616
9006;Théâtre Nouvelle Génération;Face 2, Rue Tissot;angle Rue de Bourgogne;Lyon 9e Arrondissement;6;16;;maillage;True;;225;69389;4.803311744565665;45.777295537389335
6042;Cité Internationale - Résidence hôtelière;Allée Achille Lignon;Face 35, Quai Charles de Gaulle;Lyon 6e Arrondissement;42;28;;Amphithéâtre, bureaux, résidence hôtelière;True;;192;69386;4.856503323071327;45.784814479818984
2006;Place de l'Hippodrome;Place de l'Hippodrome;Angle Cours Charlemagne;Lyon 2e Arrondissement;6;24;;coeur quartier;True;;310;69382;4.8235326732363095;45.74558155219791
7020;Parc de Gerland;24, Allée Pierre de Coubertin;;Lyon 7e Arrondissement;20;26;;Parc de Gerland, Palais des Sports;True;;160;69387;4.826821430588419;45.724348355140485
10079;Anatole France / Barbusse;103, Rue Anatole France;Angle avenue Barbusse;Villeurbanne;79;20;;marché, centre-ville;True;;162;69266;4.879081317557796;45.76811410253395
6005;Place Edgar Quinet;6, Place Edgar Quinet;Devant le lycée;Lyon 6e Arrondissement;5;20;;coeur quartier;True;;149;69386;4.844731892850445;45.76576559248031
7004;Mairie du 7e;Place Jean Macé;face à la Mairie;Lyon 7e Arrondissement;4;30;;métro B, tram, future halte TER, coeur quartier, mairie;True;;167;69387;4.842341258091612;45.74656017304797
